_id,class,description
o-dang_davidson_2,offensive,davidson_category_desc_1
o-dang_davidson_3,offensive,davidson_category_desc_2
o-dang_davidson_4,offensive,davidson_category_desc_3
o-dang_davidson_5,offensive,davidson_category_desc_4
o-dang_davidson_6,offensive,davidson_category_desc_5
o-dang_davidson_7,offensive,davidson_category_desc_6
o-dang_davidson_8,offensive,davidson_category_desc_7
o-dang_davidson_9,offensive,davidson_category_desc_8
o-dang_davidson_10,offensive,davidson_category_desc_9
o-dang_davidson_11,offensive,davidson_category_desc_10
o-dang_davidson_12,offensive,davidson_category_desc_11
o-dang_davidson_13,offensive,davidson_category_desc_12
o-dang_davidson_14,offensive,davidson_category_desc_13
o-dang_davidson_15,offensive,davidson_category_desc_14
o-dang_davidson_16,offensive,davidson_category_desc_15
o-dang_davidson_17,offensive,davidson_category_desc_16
o-dang_davidson_18,offensive,davidson_category_desc_17
o-dang_davidson_19,offensive,davidson_category_desc_18
o-dang_davidson_20,offensive,davidson_category_desc_19
o-dang_davidson_21,offensive,davidson_category_desc_20
o-dang_davidson_22,offensive,davidson_category_desc_21
o-dang_davidson_23,offensive,davidson_category_desc_22
o-dang_davidson_24,offensive,davidson_category_desc_23
o-dang_davidson_25,offensive,davidson_category_desc_24
o-dang_davidson_26,offensive,davidson_category_desc_25
o-dang_davidson_27,offensive,davidson_category_desc_26
o-dang_davidson_28,offensive,davidson_category_desc_27
o-dang_davidson_29,offensive,davidson_category_desc_28
o-dang_davidson_30,offensive,davidson_category_desc_29
o-dang_davidson_31,offensive,davidson_category_desc_30
o-dang_davidson_32,offensive,davidson_category_desc_31
o-dang_davidson_33,offensive,davidson_category_desc_32
o-dang_davidson_34,offensive,davidson_category_desc_33
o-dang_davidson_35,offensive,davidson_category_desc_34
o-dang_davidson_36,offensive,davidson_category_desc_35
o-dang_davidson_37,offensive,davidson_category_desc_36
o-dang_davidson_38,offensive,davidson_category_desc_37
o-dang_davidson_39,offensive,davidson_category_desc_38
o-dang_davidson_40,offensive,davidson_category_desc_39
o-dang_davidson_42,offensive,davidson_category_desc_40
o-dang_davidson_43,offensive,davidson_category_desc_41
o-dang_davidson_44,offensive,davidson_category_desc_42
o-dang_davidson_45,offensive,davidson_category_desc_43
o-dang_davidson_46,offensive,davidson_category_desc_44
o-dang_davidson_47,offensive,davidson_category_desc_45
o-dang_davidson_48,offensive,davidson_category_desc_46
o-dang_davidson_49,offensive,davidson_category_desc_47
o-dang_davidson_50,offensive,davidson_category_desc_48
o-dang_davidson_51,offensive,davidson_category_desc_49
o-dang_davidson_52,offensive,davidson_category_desc_50
o-dang_davidson_53,offensive,davidson_category_desc_51
o-dang_davidson_54,offensive,davidson_category_desc_52
o-dang_davidson_55,offensive,davidson_category_desc_53
o-dang_davidson_56,offensive,davidson_category_desc_54
o-dang_davidson_57,offensive,davidson_category_desc_55
o-dang_davidson_58,offensive,davidson_category_desc_56
o-dang_davidson_59,offensive,davidson_category_desc_57
o-dang_davidson_60,offensive,davidson_category_desc_58
o-dang_davidson_61,offensive,davidson_category_desc_59
o-dang_davidson_62,offensive,davidson_category_desc_60
o-dang_davidson_63,offensive,davidson_category_desc_61
o-dang_davidson_65,offensive,davidson_category_desc_62
o-dang_davidson_66,offensive,davidson_category_desc_63
o-dang_davidson_69,offensive,davidson_category_desc_64
o-dang_davidson_70,offensive,davidson_category_desc_65
o-dang_davidson_72,offensive,davidson_category_desc_66
o-dang_davidson_73,offensive,davidson_category_desc_67
o-dang_davidson_74,offensive,davidson_category_desc_68
o-dang_davidson_75,offensive,davidson_category_desc_69
o-dang_davidson_77,offensive,davidson_category_desc_70
o-dang_davidson_78,offensive,davidson_category_desc_71
o-dang_davidson_79,offensive,davidson_category_desc_72
o-dang_davidson_80,offensive,davidson_category_desc_73
o-dang_davidson_81,offensive,davidson_category_desc_74
o-dang_davidson_82,offensive,davidson_category_desc_75
o-dang_davidson_83,offensive,davidson_category_desc_76
o-dang_davidson_84,offensive,davidson_category_desc_77
o-dang_davidson_85,offensive,davidson_category_desc_78
o-dang_davidson_86,hate speech,davidson_category_desc_79
o-dang_davidson_87,offensive,davidson_category_desc_80
o-dang_davidson_88,offensive,davidson_category_desc_81
o-dang_davidson_89,offensive,davidson_category_desc_82
o-dang_davidson_90,hate speech,davidson_category_desc_83
o-dang_davidson_91,offensive,davidson_category_desc_84
o-dang_davidson_92,offensive,davidson_category_desc_85
o-dang_davidson_93,offensive,davidson_category_desc_86
o-dang_davidson_94,offensive,davidson_category_desc_87
o-dang_davidson_95,offensive,davidson_category_desc_88
o-dang_davidson_96,offensive,davidson_category_desc_89
o-dang_davidson_97,offensive,davidson_category_desc_90
o-dang_davidson_98,offensive,davidson_category_desc_91
o-dang_davidson_99,offensive,davidson_category_desc_92
o-dang_davidson_100,offensive,davidson_category_desc_93
o-dang_davidson_101,offensive,davidson_category_desc_94
o-dang_davidson_102,offensive,davidson_category_desc_95
o-dang_davidson_103,offensive,davidson_category_desc_96
o-dang_davidson_104,offensive,davidson_category_desc_97
o-dang_davidson_105,offensive,davidson_category_desc_98
o-dang_davidson_106,offensive,davidson_category_desc_99
o-dang_davidson_107,offensive,davidson_category_desc_100
o-dang_davidson_108,offensive,davidson_category_desc_101
o-dang_davidson_109,offensive,davidson_category_desc_102
o-dang_davidson_110,offensive,davidson_category_desc_103
o-dang_davidson_111,hate speech,davidson_category_desc_104
o-dang_davidson_112,offensive,davidson_category_desc_105
o-dang_davidson_113,offensive,davidson_category_desc_106
o-dang_davidson_114,offensive,davidson_category_desc_107
o-dang_davidson_115,offensive,davidson_category_desc_108
o-dang_davidson_117,offensive,davidson_category_desc_109
o-dang_davidson_118,offensive,davidson_category_desc_110
o-dang_davidson_122,offensive,davidson_category_desc_111
