_id,text,misogyny,ds,description
o-dang_ami_1,Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees. SHUT THE FUCK UP.,1,train,ami_binary_desc_1
o-dang_ami_2,<MENTION_1> <MENTION_2> Bitch shut the fuck up,1,train,ami_binary_desc_2
o-dang_ami_3,"<MENTION_1> Dear cunt, please shut the fuck up.",1,train,ami_binary_desc_3
o-dang_ami_4,RT <MENTION_1> Pls shut the fuck up bitch,1,train,ami_binary_desc_4
o-dang_ami_5,"RT <MENTION_1> ""when u gonna get your license"" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK",1,train,ami_binary_desc_5
o-dang_ami_6,ok babies i'll go to sleep ok bitch shut the fuck up,1,train,ami_binary_desc_6
o-dang_ami_7,You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????,1,train,ami_binary_desc_7
o-dang_ami_8,RT <MENTION_1> bitch shut the fuck up you're fucking your best friends dad <URL>,1,train,ami_binary_desc_8
o-dang_ami_9,"RT <MENTION_1>  shut the fuck up and come suck my dick """,1,train,ami_binary_desc_9
o-dang_ami_10,<MENTION_1> ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt,1,train,ami_binary_desc_10
o-dang_ami_11,<MENTION_1> Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you <URL>,1,train,ami_binary_desc_11
o-dang_ami_12,<MENTION_1> Shut the fuck up ye little slag,1,train,ami_binary_desc_12
o-dang_ami_13,"Selena has BEEN acting like she'ss the victim all these years, shut the fuck up <URL>",1,train,ami_binary_desc_13
o-dang_ami_14,<MENTION_1> Shut the fuck up you cunt,1,train,ami_binary_desc_14
o-dang_ami_15,like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!,1,train,ami_binary_desc_15
o-dang_ami_16,"RT <MENTION_1> ""You too skinny, imma hurt you"" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""",1,train,ami_binary_desc_16
o-dang_ami_17,<MENTION_1> shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly,1,train,ami_binary_desc_17
o-dang_ami_18,"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!""",1,train,ami_binary_desc_18
o-dang_ami_19,If women want equailty they should be drafted into war. See how that feels!!!,1,train,ami_binary_desc_19
o-dang_ami_20,charli: fuck you bitch charli: omg why am i so extra wjahjaaj,1,train,ami_binary_desc_20
o-dang_ami_21,Bitch you better be 😂😂 <URL>,1,train,ami_binary_desc_21
o-dang_ami_22,<MENTION_1> Come on box I show you my cock darling,1,train,ami_binary_desc_22
o-dang_ami_23,Rica gets so much cock in her licked cunt <URL>,1,train,ami_binary_desc_23
o-dang_ami_24,"Say you gon ride, bitch ride",1,train,ami_binary_desc_24
o-dang_ami_25,<MENTION_1> bitch you a hoe... I do not like yo fish booty ass no fuckin moe,1,train,ami_binary_desc_25
