_id,category,description
o-dang_ami_1,dominance,ami_category_desc_1
o-dang_ami_2,dominance,ami_category_desc_2
o-dang_ami_3,dominance,ami_category_desc_3
o-dang_ami_4,dominance,ami_category_desc_4
o-dang_ami_5,dominance,ami_category_desc_5
o-dang_ami_6,dominance,ami_category_desc_6
o-dang_ami_7,dominance,ami_category_desc_7
o-dang_ami_8,dominance,ami_category_desc_8
o-dang_ami_9,sexual_harassment,ami_category_desc_9
o-dang_ami_10,sexual_harassment,ami_category_desc_10
o-dang_ami_11,sexual_harassment,ami_category_desc_11
o-dang_ami_12,dominance,ami_category_desc_12
o-dang_ami_13,derailing,ami_category_desc_13
o-dang_ami_14,dominance,ami_category_desc_14
o-dang_ami_15,dominance,ami_category_desc_15
o-dang_ami_16,sexual_harassment,ami_category_desc_16
o-dang_ami_17,dominance,ami_category_desc_17
o-dang_ami_18,dominance,ami_category_desc_18
o-dang_ami_19,derailing,ami_category_desc_19
o-dang_ami_20,discredit,ami_category_desc_20
o-dang_ami_21,discredit,ami_category_desc_21
o-dang_ami_22,sexual_harassment,ami_category_desc_22
o-dang_ami_23,sexual_harassment,ami_category_desc_23
o-dang_ami_24,discredit,ami_category_desc_24
o-dang_ami_25,discredit,ami_category_desc_25
o-dang_ami_26,discredit,ami_category_desc_26
o-dang_ami_27,discredit,ami_category_desc_27
o-dang_ami_28,discredit,ami_category_desc_28
o-dang_ami_29,discredit,ami_category_desc_29
o-dang_ami_30,discredit,ami_category_desc_30
o-dang_ami_31,discredit,ami_category_desc_31
o-dang_ami_32,sexual_harassment,ami_category_desc_32
o-dang_ami_33,discredit,ami_category_desc_33
o-dang_ami_34,sexual_harassment,ami_category_desc_34
o-dang_ami_35,discredit,ami_category_desc_35
o-dang_ami_36,discredit,ami_category_desc_36
o-dang_ami_37,discredit,ami_category_desc_37
o-dang_ami_38,sexual_harassment,ami_category_desc_38
o-dang_ami_39,sexual_harassment,ami_category_desc_39
o-dang_ami_40,discredit,ami_category_desc_40
o-dang_ami_41,discredit,ami_category_desc_41
o-dang_ami_42,discredit,ami_category_desc_42
o-dang_ami_43,discredit,ami_category_desc_43
o-dang_ami_44,discredit,ami_category_desc_44
o-dang_ami_45,discredit,ami_category_desc_45
o-dang_ami_46,discredit,ami_category_desc_46
o-dang_ami_47,discredit,ami_category_desc_47
o-dang_ami_48,discredit,ami_category_desc_48
