id,labels
sexism2022_english-10142,2. derogation
sexism2022_english-760,2. derogation
sexism2022_english-1108,2. derogation
sexism2022_english-10099,"1. threats, plans to harm and incitement"
sexism2022_english-10014,3. animosity
sexism2022_english-10606,4. prejudiced discussions
sexism2022_english-16370,4. prejudiced discussions
sexism2022_english-4429,2. derogation
sexism2022_english-18545,3. animosity
sexism2022_english-11481,"1. threats, plans to harm and incitement"
sexism2022_english-10589,3. animosity
sexism2022_english-8667,"1. threats, plans to harm and incitement"
sexism2022_english-10924,2. derogation
sexism2022_english-3359,2. derogation
sexism2022_english-15737,"1. threats, plans to harm and incitement"
sexism2022_english-18585,2. derogation
sexism2022_english-13237,3. animosity
sexism2022_english-2061,3. animosity
sexism2022_english-18189,2. derogation
sexism2022_english-15668,3. animosity
sexism2022_english-11820,4. prejudiced discussions
sexism2022_english-10821,2. derogation
sexism2022_english-14203,2. derogation
sexism2022_english-3584,2. derogation
sexism2022_english-11995,2. derogation
sexism2022_english-456,3. animosity
sexism2022_english-17212,4. prejudiced discussions
sexism2022_english-16704,"1. threats, plans to harm and incitement"
sexism2022_english-9155,2. derogation
sexism2022_english-5066,2. derogation
sexism2022_english-10614,2. derogation
sexism2022_english-11758,3. animosity
sexism2022_english-307,3. animosity
sexism2022_english-10645,3. animosity
sexism2022_english-13005,2. derogation
sexism2022_english-19031,2. derogation
sexism2022_english-15098,2. derogation
sexism2022_english-8726,3. animosity
sexism2022_english-4548,3. animosity
sexism2022_english-10655,4. prejudiced discussions
sexism2022_english-3487,2. derogation
sexism2022_english-18133,2. derogation
sexism2022_english-12564,3. animosity
sexism2022_english-3322,3. animosity
sexism2022_english-8402,3. animosity
sexism2022_english-10342,2. derogation
sexism2022_english-17761,2. derogation
sexism2022_english-10191,3. animosity
sexism2022_english-6994,3. animosity
sexism2022_english-178,2. derogation
sexism2022_english-15070,2. derogation
sexism2022_english-18984,3. animosity
sexism2022_english-9176,3. animosity
sexism2022_english-5030,4. prejudiced discussions
sexism2022_english-7869,3. animosity
sexism2022_english-14479,2. derogation
sexism2022_english-19759,2. derogation
sexism2022_english-1322,2. derogation
sexism2022_english-6997,2. derogation
sexism2022_english-3815,3. animosity
sexism2022_english-1502,4. prejudiced discussions
sexism2022_english-14588,3. animosity
sexism2022_english-15257,"1. threats, plans to harm and incitement"
sexism2022_english-19153,2. derogation
sexism2022_english-8905,2. derogation
sexism2022_english-17094,2. derogation
sexism2022_english-3283,2. derogation
sexism2022_english-4052,2. derogation
sexism2022_english-2677,3. animosity
sexism2022_english-16522,3. animosity
sexism2022_english-7569,2. derogation
sexism2022_english-1559,4. prejudiced discussions
sexism2022_english-5275,3. animosity
sexism2022_english-13650,3. animosity
