id,labels
sexism2022_english-10142,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-760,2.1 descriptive attacks
sexism2022_english-1108,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-10099,1.2 incitement and encouragement of harm
sexism2022_english-10014,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10606,4.2 supporting systemic discrimination against women as a group
sexism2022_english-16370,4.2 supporting systemic discrimination against women as a group
sexism2022_english-4429,2.2 aggressive and emotive attacks
sexism2022_english-18545,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11481,1.2 incitement and encouragement of harm
sexism2022_english-10589,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8667,1.2 incitement and encouragement of harm
sexism2022_english-10924,2.2 aggressive and emotive attacks
sexism2022_english-3359,2.1 descriptive attacks
sexism2022_english-15737,1.2 incitement and encouragement of harm
sexism2022_english-18585,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-13237,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2061,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18189,2.2 aggressive and emotive attacks
sexism2022_english-15668,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11820,4.2 supporting systemic discrimination against women as a group
sexism2022_english-10821,2.1 descriptive attacks
sexism2022_english-14203,2.1 descriptive attacks
sexism2022_english-3584,2.1 descriptive attacks
sexism2022_english-11995,2.2 aggressive and emotive attacks
sexism2022_english-456,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17212,4.2 supporting systemic discrimination against women as a group
sexism2022_english-16704,1.2 incitement and encouragement of harm
sexism2022_english-9155,2.2 aggressive and emotive attacks
sexism2022_english-5066,2.1 descriptive attacks
sexism2022_english-10614,2.1 descriptive attacks
sexism2022_english-11758,3.2 immutable gender differences and gender stereotypes
sexism2022_english-307,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10645,3.2 immutable gender differences and gender stereotypes
sexism2022_english-13005,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19031,2.2 aggressive and emotive attacks
sexism2022_english-15098,2.2 aggressive and emotive attacks
sexism2022_english-8726,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-4548,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10655,4.2 supporting systemic discrimination against women as a group
sexism2022_english-3487,2.2 aggressive and emotive attacks
