id,corpus,valence,dominance,arousal
173141,emobank,3.0,3.2,3.0
173142,emobank,2.8,2.8,3.1
173143,emobank,3.0,3.0,3.0
173144,emobank,3.44,3.22,3.0
173145,emobank,3.55,3.46,3.27
173146,emobank,3.6,3.8,3.3
173147,emobank,3.0,3.1,3.0
173148,emobank,3.1,3.1,3.1
173149,emobank,3.25,3.0,2.88
173150,emobank,3.25,3.25,3.0
173151,emobank,3.25,3.12,2.88
173152,emobank,3.0,3.0,2.62
173153,emobank,3.27,3.36,3.36
173154,emobank,3.57,3.29,3.29
173155,emobank,2.88,3.25,3.0
173156,emobank,2.7,2.9,3.3
173157,emobank,3.5,3.75,3.5
173158,emobank,3.63,3.37,3.25
173159,emobank,3.7,3.3,3.4
173160,emobank,3.5,3.2,3.4
173161,emobank,3.14,3.14,2.86
173162,emobank,3.1,3.2,2.5
173163,emobank,3.0,3.0,2.43
173164,emobank,3.5,3.25,2.87
173165,emobank,3.88,3.38,3.37
173166,emobank,3.25,3.25,3.12
173167,emobank,3.7,3.3,3.1
173168,emobank,3.4,3.1,3.0
173169,emobank,3.37,3.37,3.18
173170,emobank,3.6,3.4,2.9
173171,emobank,3.0,2.82,2.55
173172,emobank,3.29,3.0,3.0
173173,emobank,3.43,3.29,3.29
173174,emobank,3.6,3.2,3.2
173175,emobank,3.4,3.0,3.2
173176,emobank,3.0,3.2,2.9
173177,emobank,3.12,3.0,3.0
173178,emobank,2.7,3.4,2.8
173179,emobank,3.8,3.3,3.4
173180,emobank,3.0,3.12,2.62
173181,emobank,3.0,3.29,2.86
173182,emobank,3.1,3.1,3.1
173183,emobank,3.0,3.2,3.1
173184,emobank,3.12,3.37,3.0
173185,emobank,3.1,3.2,3.1
173186,emobank,3.0,3.14,2.86
173187,emobank,2.82,3.27,2.73
173188,emobank,3.46,3.18,3.55
173189,emobank,3.27,3.18,3.09
173190,emobank,3.09,3.0,2.91
173191,emobank,3.11,3.0,2.89
173192,emobank,2.86,3.29,3.29
173193,emobank,2.62,2.88,2.88
173194,emobank,3.11,3.22,3.0
173195,emobank,3.5,3.33,3.17
173196,emobank,3.25,3.5,3.12
173197,emobank,3.0,3.2,3.0
173198,emobank,3.0,3.1,2.8
173199,emobank,3.4,3.4,3.1
173200,emobank,3.0,3.2,3.1
173201,emobank,3.0,3.1,2.6
173202,emobank,3.1,3.1,3.2
173203,emobank,3.12,3.38,3.25
173204,emobank,3.56,3.11,3.11
173205,emobank,3.4,3.0,2.9
173206,emobank,3.0,3.0,3.0
173207,emobank,3.1,3.0,2.9
173208,emobank,3.0,3.0,2.75
173209,emobank,3.29,3.57,3.29
173210,emobank,3.1,3.5,3.0
173211,emobank,3.2,2.9,3.0
173212,emobank,3.57,3.29,3.43
173213,emobank,3.4,3.4,3.1
173214,emobank,3.4,3.3,3.1
173215,emobank,2.9,3.1,3.3
173216,emobank,2.9,3.1,3.1
173217,emobank,3.14,3.29,3.0
173218,emobank,3.5,3.1,2.9
173219,emobank,2.9,3.1,3.1
173220,emobank,3.0,3.0,3.0
173221,emobank,3.14,3.29,3.0
173222,emobank,3.0,2.8,2.3
173223,emobank,3.0,3.12,2.75
173224,emobank,3.7,3.4,3.1
173225,emobank,3.38,3.38,3.25
173226,emobank,3.0,2.9,2.7
173227,emobank,3.4,3.1,3.1
173228,emobank,3.1,3.1,3.1
173229,emobank,3.6,3.1,2.9
173230,emobank,3.0,3.0,3.0
173231,emobank,3.2,3.0,2.8
173232,emobank,3.0,3.1,3.4
173233,emobank,2.9,3.1,3.1
173234,emobank,3.6,3.5,3.0
173235,emobank,3.6,3.1,3.1
173236,emobank,2.67,3.11,2.89
173237,emobank,3.78,3.33,3.33
173238,emobank,3.1,3.1,3.1
173239,emobank,3.12,3.12,3.25
173240,emobank,2.86,3.14,3.29
173241,emobank,3.0,3.0,2.7
173242,emobank,3.38,3.63,3.5
173243,emobank,3.38,3.12,3.0
173244,emobank,3.4,3.0,3.1
173245,emobank,3.3,3.1,3.3
173246,emobank,3.7,3.3,2.9
173247,emobank,3.0,2.8,2.2
173248,emobank,3.0,3.38,2.38
173249,emobank,3.2,3.0,2.9
173250,emobank,3.0,3.1,3.3
173251,emobank,2.8,3.3,2.8
173252,emobank,3.6,3.1,3.2
173253,emobank,2.14,2.86,3.14
173254,emobank,3.25,3.0,3.0
173255,emobank,3.0,3.0,3.0
173256,emobank,3.0,3.0,2.9
173257,emobank,3.64,3.45,3.37
173258,emobank,3.6,3.2,3.2
173259,emobank,3.3,3.0,3.2
173260,emobank,3.0,3.1,2.8
173261,emobank,3.0,3.0,3.0
173262,emobank,2.38,2.88,3.0
173263,emobank,2.22,2.89,3.11
173264,emobank,3.44,3.33,3.0
173265,emobank,2.7,3.1,3.1
173266,emobank,3.1,3.0,3.1
173267,emobank,3.6,3.1,3.1
173268,emobank,3.6,3.2,3.0
173269,emobank,4.0,3.2,3.6
173270,emobank,3.1,3.0,2.7
173271,emobank,2.6,2.8,3.0
173272,emobank,3.0,2.9,2.8
173273,emobank,3.1,3.3,3.0
173274,emobank,3.25,2.87,2.87
173275,emobank,3.8,3.2,3.3
173276,emobank,2.7,2.9,3.1
173277,emobank,3.1,3.1,2.8
173278,emobank,2.9,3.0,3.0
173279,emobank,2.8,2.8,3.0
173280,emobank,3.87,3.5,3.25
173281,emobank,2.86,3.43,3.0
173282,emobank,3.2,3.0,3.0
173283,emobank,3.0,3.0,2.8
173284,emobank,2.3,2.8,3.0
173285,emobank,2.9,3.0,2.9
173286,emobank,2.57,3.0,3.0
173287,emobank,2.2,2.7,3.0
173288,emobank,3.4,3.2,3.3
173289,emobank,3.5,3.4,3.1
173290,emobank,3.0,3.1,2.9
173291,emobank,3.0,2.9,2.8
173292,emobank,2.7,2.9,3.1
173293,emobank,3.5,3.1,2.8
173294,emobank,3.43,2.86,2.57
173295,emobank,3.29,3.29,2.86
173296,emobank,3.56,3.0,3.33
173297,emobank,3.22,3.11,3.11
173298,emobank,3.0,3.0,2.7
173299,emobank,2.0,2.38,3.5
173300,emobank,3.0,3.1,2.5
173301,emobank,3.0,3.0,3.0
173302,emobank,3.2,3.0,3.0
173303,emobank,3.0,3.1,2.6
173304,emobank,3.3,3.0,3.0
173305,emobank,2.5,3.0,3.25
173306,emobank,2.89,3.0,3.0
173307,emobank,3.0,3.57,2.57
173308,emobank,2.2,2.3,3.0
173309,emobank,3.0,3.1,3.0
173310,emobank,2.29,2.71,3.29
173311,emobank,3.12,2.75,2.88
173312,emobank,3.22,3.0,3.0
173313,emobank,2.9,3.1,2.9
173314,emobank,3.0,3.0,2.89
173315,emobank,3.0,3.0,2.75
173316,emobank,2.5,2.9,2.9
173317,emobank,2.62,2.5,2.88
173318,emobank,3.0,3.1,2.9
173319,emobank,3.2,3.3,3.0
173320,emobank,3.2,3.0,3.1
173321,emobank,3.22,3.0,2.89
173322,emobank,3.0,3.0,2.88
173323,emobank,3.5,3.5,3.1
173324,emobank,3.1,3.2,3.4
173325,emobank,2.88,3.25,2.88
173326,emobank,3.29,3.29,2.71
173327,emobank,3.0,3.2,3.1
173328,emobank,3.0,3.0,3.0
173329,emobank,2.6,2.9,3.1
173330,emobank,3.3,3.1,3.0
173331,emobank,3.2,3.0,3.0
173332,emobank,2.36,2.64,3.36
173333,emobank,2.8,3.0,3.0
173334,emobank,3.5,3.25,3.0
173335,emobank,3.0,3.0,2.9
173336,emobank,3.63,3.27,2.82
173337,emobank,3.5,3.38,3.0
173338,emobank,3.0,2.89,2.56
173339,emobank,3.3,3.0,3.1
173340,emobank,2.7,2.9,3.1
173341,emobank,2.71,3.14,3.43
173342,emobank,3.2,3.1,3.6
173343,emobank,3.2,3.1,3.0
173344,emobank,3.0,3.12,2.75
