_id,category
o-dang_waseem_1,racism
o-dang_waseem_2,racism
o-dang_waseem_3,racism
o-dang_waseem_8,racism
o-dang_waseem_9,sexism
o-dang_waseem_12,sexism
o-dang_waseem_15,sexism
o-dang_waseem_20,sexism
o-dang_waseem_21,racism
o-dang_waseem_30,sexism
o-dang_waseem_35,racism
o-dang_waseem_49,sexism
o-dang_waseem_51,sexism
o-dang_waseem_52,sexism
o-dang_waseem_53,sexism
o-dang_waseem_65,sexism
o-dang_waseem_71,sexism
o-dang_waseem_72,sexism
o-dang_waseem_73,racism
o-dang_waseem_74,racism
o-dang_waseem_77,sexism
o-dang_waseem_82,sexism
o-dang_waseem_83,sexism
o-dang_waseem_84,sexism
o-dang_waseem_85,racism
o-dang_waseem_87,racism
o-dang_waseem_88,racism
o-dang_waseem_89,sexism
o-dang_waseem_92,racism
o-dang_waseem_97,racism
o-dang_waseem_100,racism
o-dang_waseem_102,racism
o-dang_waseem_103,sexism
o-dang_waseem_108,racism
o-dang_waseem_112,sexism
o-dang_waseem_114,sexism
o-dang_waseem_117,sexism
o-dang_waseem_120,sexism
o-dang_waseem_123,sexism
o-dang_waseem_126,sexism
o-dang_waseem_132,sexism
o-dang_waseem_135,racism
o-dang_waseem_138,racism
o-dang_waseem_139,racism
o-dang_waseem_142,sexism
o-dang_waseem_143,sexism
o-dang_waseem_144,racism
o-dang_waseem_145,sexism
o-dang_waseem_147,sexism
o-dang_waseem_149,sexism
o-dang_waseem_154,sexism
o-dang_waseem_155,sexism
o-dang_waseem_156,sexism
o-dang_waseem_159,racism
o-dang_waseem_166,sexism
o-dang_waseem_169,sexism
o-dang_waseem_173,sexism
o-dang_waseem_178,sexism
o-dang_waseem_179,racism
o-dang_waseem_184,racism
o-dang_waseem_185,sexism
o-dang_waseem_187,racism
o-dang_waseem_188,racism
o-dang_waseem_193,sexism
o-dang_waseem_202,sexism
o-dang_waseem_205,sexism
o-dang_waseem_206,sexism
o-dang_waseem_207,sexism
o-dang_waseem_212,racism
o-dang_waseem_214,sexism
o-dang_waseem_215,racism
o-dang_waseem_218,sexism
o-dang_waseem_220,racism
o-dang_waseem_222,sexism
o-dang_waseem_230,sexism
o-dang_waseem_237,racism
o-dang_waseem_239,sexism
o-dang_waseem_242,sexism
o-dang_waseem_243,sexism
o-dang_waseem_253,sexism
o-dang_waseem_254,racism
o-dang_waseem_255,sexism
o-dang_waseem_256,racism
o-dang_waseem_261,racism
o-dang_waseem_264,racism
o-dang_waseem_266,sexism
o-dang_waseem_267,racism
o-dang_waseem_275,racism
o-dang_waseem_291,racism
o-dang_waseem_292,sexism
o-dang_waseem_293,racism
o-dang_waseem_297,sexism
o-dang_waseem_300,sexism
o-dang_waseem_301,racism
o-dang_waseem_308,sexism
o-dang_waseem_312,sexism
o-dang_waseem_315,sexism
o-dang_waseem_316,sexism
o-dang_waseem_323,racism
o-dang_waseem_328,racism
o-dang_waseem_330,sexism
o-dang_waseem_331,sexism
o-dang_waseem_333,racism
o-dang_waseem_335,sexism
o-dang_waseem_338,sexism
o-dang_waseem_339,racism
o-dang_waseem_341,racism
o-dang_waseem_345,racism
o-dang_waseem_347,racism
o-dang_waseem_350,racism
o-dang_waseem_353,sexism
o-dang_waseem_357,racism
o-dang_waseem_358,racism
o-dang_waseem_359,racism
o-dang_waseem_360,racism
o-dang_waseem_361,sexism
o-dang_waseem_363,racism
o-dang_waseem_369,sexism
o-dang_waseem_371,racism
o-dang_waseem_376,sexism
o-dang_waseem_379,sexism
o-dang_waseem_380,racism
o-dang_waseem_383,sexism
o-dang_waseem_385,racism
o-dang_waseem_386,racism
o-dang_waseem_393,racism
o-dang_waseem_396,sexism
o-dang_waseem_403,sexism
o-dang_waseem_410,sexism
o-dang_waseem_426,sexism
o-dang_waseem_430,racism
o-dang_waseem_439,sexism
o-dang_waseem_440,sexism
o-dang_waseem_443,racism
o-dang_waseem_444,racism
o-dang_waseem_447,racism
o-dang_waseem_448,sexism
o-dang_waseem_449,racism
o-dang_waseem_456,sexism
o-dang_waseem_457,sexism
o-dang_waseem_465,sexism
o-dang_waseem_468,racism
o-dang_waseem_470,sexism
o-dang_waseem_472,sexism
o-dang_waseem_481,sexism
o-dang_waseem_482,racism
o-dang_waseem_489,racism
o-dang_waseem_495,sexism
o-dang_waseem_496,sexism
o-dang_waseem_500,sexism
o-dang_waseem_501,sexism
o-dang_waseem_508,sexism
o-dang_waseem_509,sexism
o-dang_waseem_514,racism
o-dang_waseem_517,sexism
o-dang_waseem_519,racism
o-dang_waseem_522,sexism
o-dang_waseem_528,sexism
o-dang_waseem_529,sexism
o-dang_waseem_531,sexism
o-dang_waseem_533,sexism
o-dang_waseem_539,racism
o-dang_waseem_541,sexism
o-dang_waseem_543,sexism
o-dang_waseem_544,sexism
o-dang_waseem_545,racism
o-dang_waseem_548,sexism
o-dang_waseem_550,racism
o-dang_waseem_554,sexism
o-dang_waseem_558,racism
o-dang_waseem_562,racism
o-dang_waseem_563,racism
o-dang_waseem_576,sexism
o-dang_waseem_578,sexism
o-dang_waseem_580,sexism
o-dang_waseem_587,sexism
o-dang_waseem_592,sexism
o-dang_waseem_597,sexism
o-dang_waseem_598,sexism
o-dang_waseem_599,sexism
o-dang_waseem_600,sexism
o-dang_waseem_602,sexism
o-dang_waseem_603,racism
o-dang_waseem_606,racism
o-dang_waseem_611,sexism
o-dang_waseem_615,racism
o-dang_waseem_618,racism
o-dang_waseem_621,sexism
o-dang_waseem_623,sexism
o-dang_waseem_624,sexism
o-dang_waseem_626,sexism
o-dang_waseem_627,racism
o-dang_waseem_632,racism
o-dang_waseem_634,racism
o-dang_waseem_636,sexism
o-dang_waseem_640,sexism
o-dang_waseem_641,racism
o-dang_waseem_646,sexism
o-dang_waseem_647,racism
o-dang_waseem_648,sexism
o-dang_waseem_649,sexism
o-dang_waseem_650,sexism
o-dang_waseem_654,sexism
o-dang_waseem_657,racism
o-dang_waseem_659,sexism
o-dang_waseem_660,sexism
o-dang_waseem_661,sexism
o-dang_waseem_662,sexism
o-dang_waseem_668,racism
o-dang_waseem_674,racism
o-dang_waseem_679,sexism
o-dang_waseem_680,sexism
o-dang_waseem_681,sexism
o-dang_waseem_689,sexism
o-dang_waseem_692,racism
o-dang_waseem_696,sexism
o-dang_waseem_699,sexism
o-dang_waseem_702,sexism
o-dang_waseem_711,sexism
o-dang_waseem_723,sexism
o-dang_waseem_724,sexism
o-dang_waseem_725,sexism
o-dang_waseem_728,racism
o-dang_waseem_730,racism
o-dang_waseem_733,racism
o-dang_waseem_734,sexism
o-dang_waseem_740,racism
o-dang_waseem_743,racism
o-dang_waseem_744,sexism
o-dang_waseem_745,sexism
o-dang_waseem_749,racism
o-dang_waseem_750,racism
o-dang_waseem_751,sexism
o-dang_waseem_752,sexism
o-dang_waseem_753,racism
o-dang_waseem_754,sexism
o-dang_waseem_755,racism
o-dang_waseem_757,sexism
o-dang_waseem_769,sexism
o-dang_waseem_771,sexism
o-dang_waseem_773,sexism
o-dang_waseem_774,sexism
o-dang_waseem_780,sexism
o-dang_waseem_784,sexism
o-dang_waseem_796,sexism
o-dang_waseem_799,sexism
o-dang_waseem_802,sexism
o-dang_waseem_804,sexism
o-dang_waseem_805,racism
o-dang_waseem_807,racism
o-dang_waseem_816,sexism
o-dang_waseem_817,sexism
o-dang_waseem_819,racism
o-dang_waseem_820,sexism
o-dang_waseem_823,sexism
o-dang_waseem_827,racism
o-dang_waseem_828,sexism
o-dang_waseem_831,racism
o-dang_waseem_836,racism
o-dang_waseem_840,sexism
o-dang_waseem_841,racism
o-dang_waseem_843,sexism
o-dang_waseem_845,sexism
o-dang_waseem_854,sexism
o-dang_waseem_859,sexism
o-dang_waseem_864,sexism
o-dang_waseem_874,racism
o-dang_waseem_881,sexism
o-dang_waseem_882,sexism
o-dang_waseem_885,racism
o-dang_waseem_886,sexism
o-dang_waseem_888,sexism
o-dang_waseem_889,sexism
o-dang_waseem_890,sexism
o-dang_waseem_893,sexism
o-dang_waseem_896,sexism
o-dang_waseem_897,sexism
o-dang_waseem_904,sexism
o-dang_waseem_907,racism
o-dang_waseem_909,sexism
o-dang_waseem_915,sexism
o-dang_waseem_919,racism
o-dang_waseem_924,sexism
o-dang_waseem_926,sexism
o-dang_waseem_930,racism
o-dang_waseem_931,racism
o-dang_waseem_932,racism
o-dang_waseem_936,racism
o-dang_waseem_938,racism
o-dang_waseem_941,racism
o-dang_waseem_942,racism
o-dang_waseem_944,racism
o-dang_waseem_945,racism
o-dang_waseem_948,sexism
o-dang_waseem_949,sexism
o-dang_waseem_952,racism
o-dang_waseem_954,sexism
o-dang_waseem_956,racism
o-dang_waseem_958,sexism
o-dang_waseem_963,sexism
o-dang_waseem_966,sexism
o-dang_waseem_976,racism
o-dang_waseem_977,sexism
o-dang_waseem_979,sexism
o-dang_waseem_983,racism
o-dang_waseem_984,sexism
o-dang_waseem_988,sexism
o-dang_waseem_989,racism
o-dang_waseem_991,racism
o-dang_waseem_992,racism
o-dang_waseem_995,sexism
o-dang_waseem_1007,sexism
o-dang_waseem_1009,sexism
o-dang_waseem_1010,racism
o-dang_waseem_1013,sexism
o-dang_waseem_1015,sexism
o-dang_waseem_1022,sexism
o-dang_waseem_1029,sexism
o-dang_waseem_1033,sexism
o-dang_waseem_1034,sexism
o-dang_waseem_1035,racism
o-dang_waseem_1037,racism
o-dang_waseem_1039,racism
o-dang_waseem_1042,sexism
o-dang_waseem_1043,sexism
o-dang_waseem_1044,racism
o-dang_waseem_1045,racism
o-dang_waseem_1046,racism
o-dang_waseem_1052,racism
o-dang_waseem_1053,sexism
o-dang_waseem_1056,sexism
o-dang_waseem_1063,sexism
o-dang_waseem_1065,racism
o-dang_waseem_1066,sexism
o-dang_waseem_1069,racism
o-dang_waseem_1072,sexism
o-dang_waseem_1079,sexism
o-dang_waseem_1081,sexism
o-dang_waseem_1085,sexism
o-dang_waseem_1086,sexism
o-dang_waseem_1087,sexism
o-dang_waseem_1088,sexism
o-dang_waseem_1090,racism
o-dang_waseem_1098,racism
o-dang_waseem_1101,sexism
o-dang_waseem_1102,sexism
o-dang_waseem_1112,racism
o-dang_waseem_1114,sexism
o-dang_waseem_1117,sexism
o-dang_waseem_1118,sexism
o-dang_waseem_1120,sexism
o-dang_waseem_1122,sexism
o-dang_waseem_1129,racism
o-dang_waseem_1134,sexism
o-dang_waseem_1138,sexism
o-dang_waseem_1140,racism
o-dang_waseem_1142,racism
o-dang_waseem_1156,sexism
o-dang_waseem_1157,racism
o-dang_waseem_1158,sexism
o-dang_waseem_1159,sexism
o-dang_waseem_1164,racism
o-dang_waseem_1165,sexism
o-dang_waseem_1169,racism
o-dang_waseem_1170,sexism
o-dang_waseem_1171,sexism
o-dang_waseem_1175,sexism
o-dang_waseem_1177,sexism
o-dang_waseem_1184,racism
o-dang_waseem_1185,sexism
o-dang_waseem_1187,sexism
o-dang_waseem_1190,racism
o-dang_waseem_1193,racism
o-dang_waseem_1195,racism
o-dang_waseem_1198,racism
o-dang_waseem_1199,sexism
o-dang_waseem_1201,sexism
o-dang_waseem_1202,sexism
o-dang_waseem_1209,sexism
o-dang_waseem_1211,racism
o-dang_waseem_1212,sexism
o-dang_waseem_1217,sexism
o-dang_waseem_1219,sexism
o-dang_waseem_1222,sexism
o-dang_waseem_1223,sexism
o-dang_waseem_1225,sexism
o-dang_waseem_1226,sexism
o-dang_waseem_1233,racism
o-dang_waseem_1234,sexism
o-dang_waseem_1239,racism
o-dang_waseem_1240,racism
o-dang_waseem_1243,sexism
o-dang_waseem_1244,racism
o-dang_waseem_1247,sexism
o-dang_waseem_1251,sexism
o-dang_waseem_1254,sexism
o-dang_waseem_1255,racism
o-dang_waseem_1259,racism
o-dang_waseem_1271,racism
o-dang_waseem_1272,racism
o-dang_waseem_1276,sexism
o-dang_waseem_1277,racism
o-dang_waseem_1289,sexism
o-dang_waseem_1292,sexism
o-dang_waseem_1295,sexism
o-dang_waseem_1298,racism
o-dang_waseem_1300,racism
o-dang_waseem_1308,sexism
o-dang_waseem_1311,racism
o-dang_waseem_1313,racism
o-dang_waseem_1314,sexism
o-dang_waseem_1315,sexism
o-dang_waseem_1316,sexism
o-dang_waseem_1318,racism
o-dang_waseem_1320,racism
o-dang_waseem_1321,sexism
o-dang_waseem_1324,racism
o-dang_waseem_1329,sexism
o-dang_waseem_1330,sexism
o-dang_waseem_1332,sexism
o-dang_waseem_1335,racism
o-dang_waseem_1336,sexism
o-dang_waseem_1338,racism
o-dang_waseem_1339,sexism
o-dang_waseem_1342,racism
o-dang_waseem_1344,sexism
o-dang_waseem_1345,racism
o-dang_waseem_1349,sexism
o-dang_waseem_1354,racism
o-dang_waseem_1356,sexism
o-dang_waseem_1357,racism
o-dang_waseem_1359,racism
o-dang_waseem_1361,racism
o-dang_waseem_1365,sexism
o-dang_waseem_1367,sexism
o-dang_waseem_1376,racism
o-dang_waseem_1377,racism
o-dang_waseem_1379,sexism
o-dang_waseem_1382,racism
o-dang_waseem_1387,racism
o-dang_waseem_1389,sexism
o-dang_waseem_1390,sexism
o-dang_waseem_1396,sexism
o-dang_waseem_1401,racism
o-dang_waseem_1406,racism
o-dang_waseem_1408,sexism
o-dang_waseem_1411,racism
o-dang_waseem_1420,racism
o-dang_waseem_1423,sexism
o-dang_waseem_1425,racism
o-dang_waseem_1432,sexism
o-dang_waseem_1435,sexism
o-dang_waseem_1440,sexism
o-dang_waseem_1442,sexism
o-dang_waseem_1446,sexism
o-dang_waseem_1448,sexism
o-dang_waseem_1450,sexism
o-dang_waseem_1452,sexism
o-dang_waseem_1457,racism
o-dang_waseem_1459,sexism
o-dang_waseem_1460,racism
o-dang_waseem_1461,sexism
o-dang_waseem_1462,racism
o-dang_waseem_1467,racism
o-dang_waseem_1473,racism
o-dang_waseem_1474,racism
o-dang_waseem_1479,sexism
o-dang_waseem_1481,racism
o-dang_waseem_1482,sexism
o-dang_waseem_1485,racism
o-dang_waseem_1498,racism
o-dang_waseem_1502,racism
o-dang_waseem_1504,racism
o-dang_waseem_1506,sexism
o-dang_waseem_1512,sexism
o-dang_waseem_1515,sexism
o-dang_waseem_1519,sexism
o-dang_waseem_1524,sexism
o-dang_waseem_1525,sexism
o-dang_waseem_1527,racism
o-dang_waseem_1528,racism
o-dang_waseem_1533,racism
o-dang_waseem_1538,sexism
o-dang_waseem_1545,sexism
o-dang_waseem_1548,sexism
o-dang_waseem_1551,sexism
o-dang_waseem_1559,racism
o-dang_waseem_1560,sexism
o-dang_waseem_1563,sexism
o-dang_waseem_1564,racism
o-dang_waseem_1569,sexism
o-dang_waseem_1573,sexism
o-dang_waseem_1574,sexism
o-dang_waseem_1580,sexism
o-dang_waseem_1582,sexism
o-dang_waseem_1585,sexism
o-dang_waseem_1589,racism
o-dang_waseem_1590,sexism
o-dang_waseem_1595,sexism
o-dang_waseem_1598,racism
o-dang_waseem_1599,sexism
o-dang_waseem_1600,sexism
o-dang_waseem_1601,sexism
o-dang_waseem_1602,sexism
o-dang_waseem_1604,sexism
o-dang_waseem_1610,racism
o-dang_waseem_1611,sexism
o-dang_waseem_1612,sexism
o-dang_waseem_1613,racism
o-dang_waseem_1615,sexism
o-dang_waseem_1616,racism
o-dang_waseem_1618,sexism
o-dang_waseem_1620,sexism
o-dang_waseem_1625,sexism
o-dang_waseem_1628,racism
o-dang_waseem_1629,sexism
o-dang_waseem_1632,sexism
o-dang_waseem_1637,sexism
o-dang_waseem_1638,racism
o-dang_waseem_1642,sexism
o-dang_waseem_1643,racism
o-dang_waseem_1644,sexism
