x,y
http://www.wikidata.org/entity/Q16710185,-2100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q310878,-2800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q200986,-2529-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2329103,-1849-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1386185,-2259-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12028081,-2249-01-01T00:00:00Z
http://www.wikidata.org/entity/Q379896,-2399-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3312994,-2126-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4476472,-2400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q41330363,-430000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q601280,-1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q300767,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4220766,-1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4103582,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4205531,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4476474,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4476473,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4479256,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4520733,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3826793,-1730-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14648545,-2400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q888280,-1736-01-01T00:00:00Z
http://www.wikidata.org/entity/Q953713,-1600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106771,-3100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q453243,-3100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q577451,-3100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4896582,-1600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q60776228,-2500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7799494,-1600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q63349569,-2500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q351543,-2700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q905355,-2700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1033199,-2700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22935836,-2679-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15982277,-1600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9003334,-1743-01-01T00:00:00Z
http://www.wikidata.org/entity/Q115196275,-3000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19902504,-1599-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1673909,-2299-01-01T00:00:00Z
http://www.wikidata.org/entity/Q98382011,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19901859,-2422-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3483900,-1761-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1311757,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4161905,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4195297,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4195322,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4199449,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4419979,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6399189,-1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q198486,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q330521,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q462241,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15439204,-1759-01-01T00:00:00Z
http://www.wikidata.org/entity/Q349336,-1639-01-01T00:00:00Z
http://www.wikidata.org/entity/Q453508,-3000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q114244742,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3785028,-2049-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19327,-1579-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56821013,-2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q277645,-2600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4881984,-1779-01-01T00:00:00Z
http://www.wikidata.org/entity/Q746710,-2600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1182185,-2600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q549567,-2333-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1343295,-2199-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3148441,-2200-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3155279,-1524-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1060451,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2290815,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4199004,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4199260,-1800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q58306207,-2700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q110556989,-2379-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16710190,-2200-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16710192,-2200-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56823416,-2300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q236972,-2900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q85866043,-1733-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28085798,-2199-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56821013,-1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q573606,-2500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q268647,-4000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q31526,-1619-01-01T00:00:00Z
http://www.wikidata.org/entity/Q147966,-2100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1977233,-2100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11711611,-2500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25209372,-2079-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4312775,-2100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q87441228,-2700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q159709,-2650-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23541225,-1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q653168,-1700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3150670,-1699-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16099840,-1959-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4202987,-2379-01-01T00:00:00Z
http://www.wikidata.org/entity/Q314809,-3200-01-01T00:00:00Z
http://www.wikidata.org/entity/Q807250,-2383-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1244820,-2519-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3954574,-1700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3819698,-2109-01-01T00:00:00Z
http://www.wikidata.org/entity/Q55511028,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106540840,-0650-01-01T00:00:00Z
http://www.wikidata.org/entity/Q762495,-1031-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4355213,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4506711,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q133507,-0900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q206238,-0900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q350258,-0900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19720509,-0611-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43315,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q108577191,-0663-01-01T00:00:00Z
http://www.wikidata.org/entity/Q741155,-1450-01-01T00:00:00Z
http://www.wikidata.org/entity/Q77195060,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40930,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q42606,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q33035132,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q33035142,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q33035141,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3955338,-0650-01-01T00:00:00Z
http://www.wikidata.org/entity/Q323908,-1200-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3751604,-1199-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37085,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1415323,-1339-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11942212,-0650-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176022,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q211326,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q391254,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q554683,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q577773,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q880648,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q938564,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q943544,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1670882,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2401924,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43423,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44912,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4523551,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4778285,-0800-01-01T00:00:00Z
